n_calib,leg_cov,corr_cov,corr_inf,corr_w,bayes_cov,bayes_inf,bayes_w,uni_cov,uni_inf
20,0.7894399999999999,1.0,1.0,inf,1.0,1.0,inf,0.9051400000000003,0.0
40,0.8349,0.9997,0.9924999999999998,inf,1.0,1.0,inf,0.9043199999999999,0.0
80,0.8732799999999998,0.988,0.7296200000000002,0.5433161152498183,1.0,1.0,inf,0.9009999999999999,0.0
160,0.8901800000000002,0.9611199999999998,0.28708,0.5352034525546727,0.9953999999999998,0.7787,0.5816670777633931,0.9022999999999999,0.0
320,0.8965599999999999,0.93542,0.06276000000000001,0.49126565323001503,0.9752000000000001,0.2855,0.5833488765575661,0.9006200000000001,0.0
